Category,Order Date,Sales Target,Segment
Office Supplies,1/4/2011,14.97,Consumer
Office Supplies,1/5/2011,299.58,Home Office
Office Supplies,1/6/2011,20.9,Consumer
Furniture,1/7/2011,"2,316.44",Home Office
Office Supplies,1/7/2011,16.91,Consumer
Office Supplies,1/7/2011,13.93,Corporate
Office Supplies,1/7/2011,698.84,Home Office
Technology,1/7/2011,"1,067.58",Home Office
Furniture,1/8/2011,81.33,Consumer
Office Supplies,1/8/2011,11.06,Consumer
Office Supplies,1/10/2011,8.69,Consumer
Technology,1/10/2011,28.7,Consumer
Furniture,1/11/2011,47.27,Corporate
Office Supplies,1/11/2011,2.51,Corporate
Furniture,1/12/2011,8.75,Consumer
Furniture,1/14/2011,791.95,Consumer
Office Supplies,1/14/2011,"1,386.60",Consumer
Office Supplies,1/14/2011,570.06,Corporate
Technology,1/14/2011,595,Corporate
Furniture,1/15/2011,65.68,Corporate
Technology,1/16/2011,143.95,Consumer
Furniture,1/17/2011,109.31,Consumer
Office Supplies,1/17/2011,49.15,Consumer
Technology,1/17/2011,111.78,Consumer
Office Supplies,1/19/2011,66.16,Corporate
Furniture,1/20/2011,157.88,Consumer
Office Supplies,1/20/2011,183.33,Consumer
Furniture,1/21/2011,"1,243.89",Consumer
Office Supplies,1/21/2011,537.63,Consumer
Office Supplies,1/21/2011,67.19,Corporate
Technology,1/21/2011,748.93,Consumer
Furniture,1/22/2011,24.74,Consumer
Office Supplies,1/24/2011,39.58,Consumer
Furniture,1/27/2011,123.51,Corporate
Furniture,1/27/2011,65.46,Home Office
Office Supplies,1/27/2011,10.25,Corporate
Office Supplies,1/27/2011,531.3,Home Office
Technology,1/27/2011,343.33,Home Office
Furniture,1/28/2011,359.64,Consumer
Office Supplies,1/28/2011,86.18,Consumer
Office Supplies,1/29/2011,3.34,Consumer
Office Supplies,1/31/2011,262.15,Consumer
Furniture,2/1/2011,308.11,Consumer
Technology,2/2/2011,506.41,Consumer
Office Supplies,2/3/2011,18.52,Consumer
Office Supplies,2/3/2011,10.74,Home Office
Technology,2/3/2011,175.53,Consumer
Office Supplies,2/4/2011,105.85,Consumer
Office Supplies,2/5/2011,15.01,Corporate
Office Supplies,2/5/2011,121.82,Home Office
Office Supplies,2/7/2011,9.67,Consumer
Office Supplies,2/7/2011,13.35,Corporate
Technology,2/7/2011,260.58,Corporate
Office Supplies,2/8/2011,71.46,Corporate
Technology,2/8/2011,108.44,Corporate
Furniture,2/9/2011,12.81,Home Office
Furniture,2/12/2011,"1,534.55",Consumer
Office Supplies,2/12/2011,143.01,Consumer
Technology,2/12/2011,241.48,Consumer
Furniture,2/13/2011,112.72,Consumer
Office Supplies,2/15/2011,15.53,Consumer
Office Supplies,2/15/2011,352.64,Corporate
Technology,2/15/2011,259.17,Corporate
Office Supplies,2/16/2011,18.16,Corporate
Office Supplies,2/17/2011,8.59,Consumer
Office Supplies,2/18/2011,49.87,Consumer
Furniture,2/19/2011,22.39,Consumer
Office Supplies,2/19/2011,11.61,Consumer
Furniture,2/21/2011,18.69,Corporate
Office Supplies,2/21/2011,12.05,Home Office
Technology,2/21/2011,68.54,Corporate
Office Supplies,2/22/2011,8.67,Consumer
Office Supplies,2/23/2011,19.44,Consumer
Office Supplies,2/24/2011,12.5,Home Office
Office Supplies,2/25/2011,59.57,Consumer
Office Supplies,2/28/2011,21.01,Consumer
Furniture,3/1/2011,"1,247.28",Consumer
Furniture,3/1/2011,545.34,Home Office
Office Supplies,3/1/2011,260.03,Consumer
Office Supplies,3/1/2011,18.87,Home Office
Technology,3/1/2011,5.41,Home Office
Office Supplies,3/2/2011,3.39,Corporate
Office Supplies,3/2/2011,43.46,Home Office
Technology,3/2/2011,137.59,Corporate
Furniture,3/3/2011,557.45,Consumer
Furniture,3/3/2011,287.33,Corporate
Office Supplies,3/3/2011,200.15,Consumer
Office Supplies,3/3/2011,53.81,Corporate
Office Supplies,3/3/2011,142.02,Home Office
Technology,3/3/2011,9.49,Home Office
Office Supplies,3/4/2011,314.88,Consumer
Office Supplies,3/5/2011,216.57,Consumer
Technology,3/5/2011,446.37,Consumer
Furniture,3/7/2011,49.2,Consumer
Furniture,3/7/2011,982.55,Corporate
Office Supplies,3/7/2011,226.97,Consumer
Office Supplies,3/7/2011,207.51,Corporate
Office Supplies,3/7/2011,115.18,Home Office
Office Supplies,3/10/2011,749.38,Consumer
Furniture,3/11/2011,7.65,Consumer
Office Supplies,3/11/2011,123.54,Consumer
Office Supplies,3/11/2011,177.87,Corporate
Technology,3/11/2011,645.77,Corporate
Furniture,3/14/2011,"1,219.71",Home Office
Office Supplies,3/14/2011,217.22,Consumer
Office Supplies,3/14/2011,12.27,Corporate
Office Supplies,3/14/2011,98.51,Home Office
Technology,3/14/2011,77,Consumer
Technology,3/14/2011,523.17,Home Office
Furniture,3/15/2011,42.95,Consumer
Office Supplies,3/15/2011,302.33,Consumer
Technology,3/16/2011,514.39,Home Office
Furniture,3/17/2011,"3,395.84",Corporate
Office Supplies,3/17/2011,250.34,Consumer
Office Supplies,3/17/2011,361.22,Corporate
Furniture,3/18/2011,"1,535.57",Home Office
Office Supplies,3/18/2011,"1,771.20",Home Office
Technology,3/18/2011,"25,729.34",Home Office
Furniture,3/19/2011,21.51,Corporate
Office Supplies,3/19/2011,65.81,Corporate
Technology,3/19/2011,444.79,Corporate
Furniture,3/21/2011,216.14,Consumer
Office Supplies,3/21/2011,79.2,Consumer
Office Supplies,3/21/2011,311.63,Corporate
Technology,3/21/2011,"3,079.94",Corporate
Furniture,3/22/2011,314.35,Corporate
Office Supplies,3/22/2011,79.16,Consumer
Office Supplies,3/22/2011,76.58,Corporate
Office Supplies,3/23/2011,330.1,Consumer
Technology,3/23/2011,622.89,Consumer
Furniture,3/24/2011,37.24,Consumer
Office Supplies,3/24/2011,22.91,Consumer
Furniture,3/25/2011,341.11,Consumer
Office Supplies,3/25/2011,42.19,Consumer
Technology,3/25/2011,45.93,Consumer
Office Supplies,3/26/2011,15.94,Consumer
Office Supplies,3/26/2011,33.17,Corporate
Technology,3/26/2011,83.67,Corporate
Furniture,3/28/2011,"1,101.79",Consumer
Furniture,3/28/2011,327.28,Home Office
Office Supplies,3/28/2011,6.55,Consumer
Technology,3/28/2011,314.47,Home Office
Furniture,3/29/2011,917.57,Consumer
Furniture,3/30/2011,211.84,Consumer
Furniture,3/30/2011,113.3,Home Office
Office Supplies,3/30/2011,184.32,Consumer
Office Supplies,3/30/2011,65.08,Corporate
Office Supplies,3/30/2011,342.43,Home Office
Technology,3/30/2011,219.19,Home Office
Furniture,3/31/2011,"1,193.02",Consumer
Office Supplies,3/31/2011,827.43,Consumer
Office Supplies,3/31/2011,1.98,Corporate
Technology,3/31/2011,77.58,Consumer
Office Supplies,4/1/2011,46.22,Consumer
Office Supplies,4/1/2011,62.95,Corporate
Furniture,4/2/2011,181.23,Corporate
Office Supplies,4/2/2011,242.5,Consumer
Technology,4/2/2011,892.44,Consumer
Office Supplies,4/3/2011,12.16,Corporate
Technology,4/3/2011,237.85,Corporate
Furniture,4/4/2011,5.36,Consumer
Office Supplies,4/4/2011,87.3,Consumer
Office Supplies,4/4/2011,277.58,Corporate
Office Supplies,4/4/2011,17.2,Home Office
Technology,4/4/2011,95.98,Corporate
Office Supplies,4/5/2011,832.26,Consumer
Office Supplies,4/5/2011,"4,795.22",Corporate
Office Supplies,4/5/2011,54.37,Home Office
Technology,4/5/2011,31.6,Corporate
Furniture,4/6/2011,763.05,Corporate
Furniture,4/6/2011,157.86,Home Office
Office Supplies,4/6/2011,240.97,Corporate
Office Supplies,4/6/2011,9.69,Home Office
Technology,4/6/2011,307.16,Corporate
Technology,4/6/2011,108.61,Home Office
Furniture,4/7/2011,9.14,Consumer
Office Supplies,4/7/2011,119.28,Corporate
Office Supplies,4/7/2011,51.9,Home Office
Technology,4/7/2011,535.46,Corporate
Technology,4/7/2011,198.96,Home Office
Furniture,4/8/2011,161.78,Consumer
Furniture,4/8/2011,"1,167.28",Corporate
Furniture,4/8/2011,108.56,Home Office
Office Supplies,4/8/2011,19.24,Corporate
Office Supplies,4/8/2011,43.82,Home Office
Technology,4/8/2011,339.97,Home Office
Office Supplies,4/11/2011,109.39,Consumer
Technology,4/11/2011,928.22,Consumer
Technology,4/11/2011,720.43,Home Office
Furniture,4/12/2011,311.58,Corporate
Office Supplies,4/12/2011,33.7,Consumer
Office Supplies,4/12/2011,57.77,Corporate
Technology,4/12/2011,"1,437.78",Corporate
Office Supplies,4/13/2011,547.64,Corporate
Office Supplies,4/13/2011,8.46,Home Office
Technology,4/13/2011,76.24,Corporate
Furniture,4/15/2011,163.35,Home Office
Office Supplies,4/15/2011,91.99,Home Office
Office Supplies,4/16/2011,38.68,Corporate
Furniture,4/18/2011,304.38,Consumer
Office Supplies,4/18/2011,166.9,Consumer
Technology,4/18/2011,443.71,Consumer
Furniture,4/19/2011,76.14,Home Office
